fewsid;Id;Code;Omschrijving;Groep;Titel;Begin geldigheid;Eind geldigheid
194;486;I20280.07;ISO 20280:2007 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
195;487;I21427-1.06;NEN-ISO 21427-1:2006 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
196;488;I21427-2.06;NEN-ISO 21427-2:2006 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
197;489;I22032.06;ISO 22032:2006 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
198;490;I22036.08;ISO 22036:2008 en;Norm bodem-chemisch;;6 december 2011 00:00:00;1 januari 2100 00:00:00
199;280;I22155.05;NEN-ISO 22155:2005 en;Norm vervallen;;19 november 2015 00:00:00;1 januari 2100 00:00:00
200;492;I22155.11;NEN-ISO 22155:2011en;Norm bodem-chemisch;;1 augustus 2014 00:00:00;1 januari 2100 00:00:00
201;292;I22478.06;NEN-EN-ISO 22478:2006 en;Norm water-chemisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
202;494;I22743.06;NEN-ISO 22743:2006 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
203;495;I23161.09;ISO 23161:2009;Norm bodem-chemisch;;6 december 2011 00:00:00;1 januari 2100 00:00:00
204;496;I23470.07;ISO 23470:2007 en;Norm bodem-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
205;497;I23631.06;NEN-EN-ISO 23631:2006 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
206;498;I23893-1.07;ISO 23893-1:2007 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
207;499;I23913.06;NEN-ISO 23913:2006 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
208;1012;I25101.09;ISO 25101:2009 en;Norm water-chemisch;;8 december 2017 00:00:00;1 januari 2100 00:00:00
209;1043;I28540.11;ISO 28540:2011 en;Norm water-chemisch;;15 februari 2020 00:00:00;1 januari 2100 00:00:00
210;500;I4832.06;ISO 4832:2006 en;Norm water-biologisch;;27 april 2013 00:00:00;1 januari 2100 00:00:00
211;271;I5663.93;NEN-ISO 5663:1993 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
212;502;I5664.04;NEN-ISO 5664:2004 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
213;503;I5666.99;ISO 5666:1999 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
214;88;I5667-1.94;NEN-ISO 5667-1:1994 en;Norm vervallen;;10 december 2015 00:00:00;1 januari 2100 00:00:00
215;977;I5667-11.09;ISO 5667-11:2009 en;Norm water-chemisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
216;80;I5667-11.93;ISO 5667-11:1993 en;Norm vervallen;;10 december 2015 00:00:00;1 januari 2100 00:00:00
217;504;I5667-16.98;NEN-EN-ISO 5667-16:1998 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
218;90;I5667-2.93;NEN-ISO 5667-2:1993 en;Norm vervallen;;10 december 2015 00:00:00;1 januari 2100 00:00:00
219;87;I5667-3.12;NEN-EN-ISO 5667-3:2012 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
220;81;I5667-4.87;ISO 5667-4:1987 en;Norm water;;10 december 2015 00:00:00;1 januari 2100 00:00:00
221;505;I5813.93;NEN-ISO 5813:1993 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
222;234;I5814.93;NEN-ISO 5814:1993 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
223;507;I5815-1.03;ISO 5815-1:2003 en;Norm vervallen;;7 augustus 2020;1 januari 2100
224;1056;I5815-1.19;NEN-EN-ISO 5815-1:2019 en;Norm water-chemisch;;7 augustus 2020;1 januari 2100
225;508;I5815-2.03;ISO 5815-2:2003 en;Norm water-chemisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
226;61;I5961.95;NEN-EN-ISO 5961:1995 nl;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
227;510;I6058.84;ISO 6058:1984 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
228;511;I6059.05;NEN-ISO 6059:2005 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
229;512;I6060.89;ISO 6060:1989 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
230;278;I6222.99;NEN-EN-ISO 6222:1999 en;Norm water-biologisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
231;514;I6332.04;NEN-ISO 6332:2004 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
232;515;I6333.88;NEN-ISO 6333:1988 nl;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
233;516;I6340.93;NEN-ISO 6340:1993 en;Norm vervallen;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
234;304;I6341.12;NEN-EN-ISO 6341:2012 en;Norm water-biologisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
235;517;I6341.96;NEN-EN-ISO 6341:1996 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
236;518;I6439.90;ISO 6439:1990 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
237;519;I6461-1.93;NEN-ISO 6461-1:1993 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
238;300;I6461-2.93;NEN-ISO 6461-2:1993 en;Norm water-biologisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
239;62;I6468.97;NEN-EN-ISO 6468:1997 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
240;522;I6595.93;NEN-EN-ISO 6595:1993 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
241;523;I6703-1.84;ISO 6703-1:1984 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
242;524;I6703-2.84;ISO 6703-2:1984 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
243;525;I6703-3.84;ISO 6703-3:1984 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
244;526;I6777.93;NEN-ISO 6777:1993 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
245;527;I6778.84;ISO 6778:1984 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
246;528;I6878.04;NEN-EN-ISO 6878:2004 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
247;529;I7027.00;NEN-EN-ISO 7027:2000 en;Norm vervallen;;12 september 2017 00:00:00;1 januari 2100 00:00:00
248;1009;I7027.16;NEN-EN-ISO 7027-1:2016 en;Norm water-fysisch;;12 september 2017 00:00:00;1 januari 2100 00:00:00
249;232;I7027.94;NEN-ISO 7027:1994 en;Norm vervallen;;10 december 2015 00:00:00;1 januari 2100 00:00:00
250;530;I7150-1.02;NEN-ISO 7150-1:2002 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
251;531;I7346-1.97;NEN-EN-ISO 7346-1:1997 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
252;532;I7346-2.97;NEN-EN-ISO 7346-2:1997 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
253;533;I7346-3.97;NEN-EN-ISO 7346-3:1997 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
254;534;I7393-1.00;NEN-EN-ISO 7393-1:2000 en;Norm water-chemisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
255;535;I7393-2.00;NEN-EN-ISO 7393-2:2000 en;Norm water-chemisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
256;536;I7393-3.00;NEN-EN-ISO 7393-3:2000 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
257;537;I7827.96;NEN-EN-ISO 7827:1996 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
258;538;I7828.94;NEN-ISO 7828:1994 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
259;539;I7875-1.96;ISO 7875-1:1996 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
260;222;I7875-2.84;ISO 7875-2:1984 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
261;209;I7887.12;NEN-EN-ISO 7887:2012 en;Norm water-fysisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
262;542;I7887.94;NEN-EN-ISO 7887:1994 en;Norm vervallen;;3 november 2012 00:00:00;1 januari 2100 00:00:00
263;178;I7888.94;NEN-ISO 7888:1994 en;Norm water-fysisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
264;544;I7890-3.99;NEN-ISO 7890-3:1999 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
265;545;I7899-1.98;NEN-EN-ISO 7899-1:1998 en;Norm vervallen;;1 april 2017 00:00:00;1 januari 2100 00:00:00
266;1003;I7899-1C1.00;NEN-EN-ISO 7899-1:1998/C1:2000 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
267;279;I7899-2.00;NEN-EN-ISO 7899-2:2000 en;Norm water-biologisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
268;547;I7980.00;NEN-EN-ISO 7980:2000 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
269;548;I7981-1.05;NEN-ISO 7981-1:2005 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
270;549;I7981-2.05;NEN-ISO 7981-2:2005 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
271;7;I8165-1.92;ISO 8165-1:1992 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
272;551;I8165-2.99;ISO 8165-2:1999 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
273;552;I8192.07;NEN-EN-ISO 8192:2007 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
274;553;I8245.99;ISO 8245:1999 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
275;554;I8265.94;NEN-ISO 8265:1994 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
276;555;I8288.86;ISO 8288:1986 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
277;226;I8467.95;NEN-EN-ISO 8467:1995 en;Norm water-fysisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
278;557;I8689-1.00;NEN-EN-ISO 8689-1:2000 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
279;558;I8689-2.00;NEN-EN-ISO 8689-2:2000 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
280;559;I8692.04;NEN-EN-ISO 8692:2004 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
281;560;I9174.98;ISO 9174:1998 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
282;561;I9297.89;ISO 9297:1989 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
283;302;I9308-1.00;NEN-EN-ISO 9308-1:2000 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
284;563;I9308-3.99;NEN-EN-ISO 9308-3:1999 en;Norm vervallen;;1 april 2017 00:00:00;1 januari 2100 00:00:00
285;1004;I9308-3C1.00;NEN-EN-ISO 9308-3:1999/C1:2000 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
286;564;I9377-1.00;NEN-EN-ISO 9377-1:2000 Ontw. en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
287;246;I9377-2.00;NEN-EN-ISO 9377-2:2000 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
288;566;I9377-4.99;NEN-EN-ISO 9377-4:1999 Ontw. en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
289;567;I9390.90;ISO 9390:1990 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
290;568;I9391.95;NEN-EN-ISO 9391:1995 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
291;569;I9408.99;NEN-EN-ISO 9408:1999 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
292;570;I9439.00;NEN-EN-ISO 9439:2000 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
293;571;I9509.06;NEN-EN-ISO 9509:2006 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
294;572;I9562.04;NEN-EN-ISO 9562:2004 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
295;573;I9697.92;ISO 9697:1992 en;Norm water-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
296;574;I9698.89;ISO 9698:1989 en;Norm water-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
297;575;I9887.94;NEN-EN-ISO 9887:1994 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
298;576;I9888.99;NEN-EN-ISO 9888:1999 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
299;577;I9963-1.94;ISO 9963-1:1994 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
300;200;I9963-1.96;NEN-EN-ISO 9963-1:1996 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
301;579;I9963-2.94;ISO 9963-2:1994 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
302;580;I9963-2.96;NEN-EN-ISO 9963-2:1996 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
303;581;I9964-1.93;ISO 9964-1:1993 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
304;582;I9964-2.93;ISO 9964-2:1993 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
305;583;I9964-3.93;ISO 9964-3:1993 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
306;584;I9965.93;ISO 9965:1993 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
307;976;KNMI5WIND.01;KNMI Handboek Waarnemingen, Hoofdstuk 5. Wind, maart 2001;Voorschrift;;7 november 2015 00:00:00;1 januari 2100 00:00:00
308;585;KRW;Bepaling afgeleide waarde volgens KRW-methodiek;Methodiek;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
309;962;LEIDDPS:2012;Leidraad voor passive sampling 2012;Voorschrift;;8 november 2014 00:00:00;1 januari 2100 00:00:00
310;586;MODEL;Waarde is bepaald/berekend volgens model;Methodiek;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
311;169;N12176.98;NEN-EN 12176:1998 en;Norm slib;;19 november 2015 00:00:00;1 januari 2100 00:00:00
312;588;N12260.03;NEN-EN 12260:2003 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
313;51;N1233.97;NEN-EN 1233:1997 en,nl;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
314;52;N12338.98;NEN-EN 12338:1998 en;Norm vervallen;;8 december 2017 00:00:00;1 januari 2100 00:00:00
315;591;N12457-1.02;NEN-EN 12457-1:2002 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
316;592;N12457-2.02;NEN-EN 12457-2:2002 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
317;593;N12457-3.02;NEN-EN 12457-3:2002 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
318;276;N12457-4.02;NEN-EN 12457-4:2002 en;Norm slib;;19 november 2015 00:00:00;1 januari 2100 00:00:00
319;53;N12673.99;NEN-EN 12673:1999 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
320;596;N12780.02;NEN-EN 12780:2002 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
321;597;N12879.01;NEN-EN 12879:2001 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
322;598;N12880.01;NEN-EN 12880:2001 en;Norm vervallen;;14 december 2016 00:00:00;1 januari 2100 00:00:00
323;599;N12918.99;NEN-EN 12918:1999 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
324;600;N13137.01;NEN-EN 13137:2001 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
325;216;N13211.01;NEN-EN 13211:2001 en;Norm milieu;;10 december 2015 00:00:00;1 januari 2100 00:00:00
326;260;N13342.00;NEN-EN 13342:2000 en;Norm slib;;19 november 2015 00:00:00;1 januari 2100 00:00:00
327;602;N13346.00;NEN-EN 13346:2000 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
328;603;N13506.01;NEN-EN 13506:2001 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
329;604;N13577.07;NEN-EN 13577:2007 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
330;605;N13656.02;NEN-EN 13656:2002 en;Norm slib;;1 april 2017 00:00:00;1 januari 2100 00:00:00
331;606;N13657.02;NEN-EN 13657:2002 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
332;607;N13946.03;NEN-EN 13946:2003 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
333;608;N14011.03;NEN-EN 14011:2003 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
334;609;N14184.03;NEN-EN 14184:2003 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
335;610;N14207.03;NEN-EN 14207:2003 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
336;215;N14385.04;NEN-EN 14385:2004 en;Norm milieu;;10 december 2015 00:00:00;1 januari 2100 00:00:00
337;611;N14393.02;NEN-EN 14393:2002 Ontw. en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
338;612;N14407.04;NEN-EN 14407:2004 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
339;613;N14486.05;NEN-EN 14486:2005 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
340;614;N14614.04;NEN-EN 14614:2004 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
341;615;N14671.06;NEN-EN 14671:2006 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
342;616;N14672.05;NEN-EN 14672:2005 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
343;617;N14701-1.06;NEN-EN 14701-1:2006 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
344;618;N14701-2.06;NEN-EN 14701-2:2006 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
345;619;N14701-3.06;NEN-EN 14701-3:2006 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
346;620;N14701-4.07;NEN-EN 14701-4:2007 Ontw. en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
347;621;N14702-1.06;NEN-EN 14702-1:2006 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
348;622;N14702-2.06;NEN-EN 14702-2:2006 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
349;623;N14757.05;NEN-EN 14757:2005 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
350;54;N1483.07;NEN-EN 1483:2007 en;Norm vervallen;;8 december 2017 00:00:00;1 januari 2100 00:00:00
351;171;N1484.97;NEN-EN 1484:1997 en,nl;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
352;626;N14962.06;NEN-EN 14962:2006 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
353;627;N14996.06;NEN-EN 14996:2006 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
354;628;N15169.07;NEN-EN 15169:2007 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
355;629;N15170.05;NEN-EN 15170:2005 Ontw. en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
356;630;N15171.05;NEN-EN 15171:2005 Ontw. en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
357;318;N15192.06;NEN-EN 15192:2006 en;Norm bodem-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
358;632;N15204.06;NEN-EN 15204:2006 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
359;324;N15216.07;NEN-EN 15216:2007 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
360;634;N15308.08;NEN-EN 15308:2008 en;Norm slib;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
361;635;N15309.07;NEN-EN 15309:2007 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
362;636;N15400.11;NEN-EN 15400:2011 en;Norm slib;;27 april 2013 00:00:00;1 januari 2100 00:00:00
363;637;N15460.07;NEN-EN 15460:2007 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
364;638;N15708.07;NEN-EN 15708:2007 Ontw. en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
365;981;N15934.12;NEN-EN 15934:2012 en;Norm slib;;14 december 2016 00:00:00;1 januari 2100 00:00:00
366;639;N1622.06;NEN-EN 1622:2006 en;Norm water-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
367;1055;N16695.15;NEN-EN 16695:2015 en;Norm water-biologisch;;27 maart 2020 00:00:00;1 januari 2100 00:00:00
368;640;N1899-1.98;NEN-EN 1899-1:1998 en,nl;Norm water-chemisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
369;641;N1899-2.98;NEN-EN 1899-2:1998 en,nl;Norm water-chemisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
370;173;N1948+A1.13;NEN-EN 1948-4:2010+A1:2013 en;Norm milieu;;10 december 2015 00:00:00;1 januari 2100 00:00:00
371;101;N3106.86;NEN 3106:1986 nl;Norm bodem/water-chemisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
372;642;N5110.01;NEN 5110:2001 nl;Norm bodem-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
373;9;N5483.89;NEN 5483:1989 nl;Norm milieu;;10 december 2015 00:00:00;1 januari 2100 00:00:00
374;643;N5622.06;NEN 5622: 2006 nl;Norm radioactiviteit;;1 juli 2013 00:00:00;1 januari 2100 00:00:00
375;644;N5623.02;NEN 5623:2002 nl;Norm radioactiviteit;;31 mei 2012 00:00:00;1 januari 2100 00:00:00
376;645;N5627.06;NEN 5627: 2006 nl;Norm radioactiviteit;;1 juli 2013 00:00:00;1 januari 2100 00:00:00
377;646;N5694+C1.11;NEN 5694:2007+C1:2011 nl;Norm radioactiviteit;;1 juli 2013 00:00:00;1 januari 2100 00:00:00
378;647;N5704.96;NEN 5704:1996 nl;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
379;648;N5707+C1.06;NEN 5707:2003+C1:2006 nl;Norm vervallen;;10 december 2015 00:00:00;1 januari 2100 00:00:00
380;184;N5707.13;NEN 5707:2013 Ontw. Nl;Norm bodem-fysisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
381;238;N5707.15;NEN 5707:2015 nl;Norm bodem-fysisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
382;227;N5709.06;NEN 5709:2006 nl;Norm bodem-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
383;650;N5719.99;NEN 5719:1999 nl;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
384;651;N5727.04;NEN 5727:2004;Norm bodem-chemisch;;6 december 2011 00:00:00;1 januari 2100 00:00:00
385;1;N5731.94;NEN 5731:1994 2e Ontw. nl;Norm vervallen;;10 december 2015 00:00:00;1 januari 2100 00:00:00
386;10;N5733.97;NEN 5733:1997 nl;Norm bodem-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
387;2;N5734.95;NEN 5734:1995 2e Ontw. nl;Norm vervallen;;10 december 2015 00:00:00;1 januari 2100 00:00:00
388;125;N5734.99;NEN 5734:1999;Norm vervallen;;19 november 2015 00:00:00;1 januari 2100 00:00:00
389;3;N5735.94;NEN 5735:1994 2e Ontw. nl;Norm vervallen;;10 december 2015 00:00:00;1 januari 2100 00:00:00
390;126;N5735.99;NEN 5735:1999 nl;Norm bodem-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
391;655;N5738.96;NEN 5738:1996 nl;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
392;272;N5739.96;NEN 5739:1996 nl;Norm bodem-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
393;79;N5742.00;NEN 5742:2000 Ontw. nl;Norm vervallen;;10 december 2015 00:00:00;1 januari 2100 00:00:00
394;978;N5742.01;NEN 5742:2001 nl;Norm bodem-chemisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
